donor_id,x_cont1,x_cont2,x_cont3,x_cont4,x_cont5,x_cont6,x_cont7,x_cont8,x_cont9,x_cont10,C(cat0)[1],C(cat0)[2],C(cat0)[3],C(cat1)[T.2],C(cat1)[T.3],C(cat2)[T.2],C(cat2)[T.3],x_bin1,x_bin2,CT1,CT2,CT3,CT4,CT5
S121,-0.49031925,0.018966394,-0.53865725,0.12272159,0.19887416,0.38718265,-0.1461059,0.4604807,-0.01307477,0.21604969,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0,0,5,112,4
S122,0.45951706,-0.43446252,0.79367334,0.7352905,0.35469905,-0.40105355,-0.22831057,0.71376306,0.02312565,1.5206585,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0,39,0,113,0
S123,0.5417234,0.9893046,1.4696383,-0.9539988,0.7787916,0.56533265,-0.47783157,0.08561598,0.79236996,-0.8023055,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4,6,11,60,6
S124,-0.61282,-1.2359508,3.2076116,-1.0219486,-0.42324936,-0.28764012,0.24594316,-0.37028182,-0.54244214,0.57917315,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0,0,0,188,6
S125,0.1721244,1.1475033,0.5886892,-0.9133335,-0.084203534,-0.27762526,0.89483947,0.7997429,0.7831235,0.067709774,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,60,0,4,88,36
S126,-1.1937804,-1.0465051,0.41481534,-1.284014,-0.018095037,-0.7147194,-0.2609385,1.3656061,0.7111104,-1.761295,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0,0,9,109,6
S127,0.14915083,-0.10400227,1.4851915,-0.47459203,1.4993838,-2.5607963,-0.025162451,0.21153373,-1.1474903,-1.1915989,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0,0,0,145,0
S128,0.26322678,-1.0568937,-2.231219,1.493114,-0.73888725,-0.5248018,1.284021,-0.032594915,-1.2002659,1.4223523,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,22,22,0,45,2
S129,-0.80644757,-1.5748304,0.72641325,0.42816246,2.1010199,-0.37904507,1.0737164,-0.47601312,-0.33401233,0.2731523,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0,0,0,65,0
S130,-0.16985814,0.03343551,-0.24577962,1.6138219,0.87729937,-0.44506568,-1.4027779,-0.5434447,-0.20446089,1.2762132,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,1,10,104,10
S131,0.28272742,1.2023448,-0.012162534,0.14091614,-0.9408332,-1.2029486,0.621098,-1.278138,0.17890643,-1.5564328,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1,9,3,30,12
S132,-1.4415089,-0.50085276,0.6289055,0.9133434,-0.1794268,-0.2504424,0.8397619,1.3256369,0.89910203,1.3899109,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,0,14,62,16
S133,0.5842144,-0.18878973,0.24466105,-1.0848945,0.18964736,-0.5901462,0.06779099,1.3852737,0.7810457,0.73928297,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,55,80,0,31,0
S134,-2.19723,-0.49984932,1.1834834,-0.032646287,-0.49735326,2.186216,0.9365637,0.36251003,1.2033141,-0.18269078,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0,0,1,185,0
S135,0.7878693,0.23599891,-1.8727521,0.06657961,0.5427384,1.6641251,-0.21215644,0.2107076,0.3274253,-0.80752957,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,8,30,2,46,6
S136,-0.2886591,0.72794074,-1.1199311,2.5474997,-0.70001453,-0.8204532,-1.4944259,-0.24884622,-0.06787169,-1.2081019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,0,27,62,13
S137,-0.4733075,1.5659386,0.751415,-0.24461167,1.0521532,-0.36394688,-0.6677212,0.12387069,-0.16331954,-1.8753337,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0,1,4,101,8
S138,-0.93521756,-1.8623077,-1.3000988,0.18328747,0.8573307,-1.7506038,-0.17278019,-0.90769625,0.9909536,1.994217,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0,0,1,66,1
S139,-0.16782893,0.72385675,1.0014628,0.40559292,0.5119321,-0.63443136,-0.11077719,0.6533919,1.0529581,-0.38174495,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3,0,13,48,6
S140,-0.6264139,-0.6519611,-1.5567557,1.1480495,1.5297327,1.0760742,-0.8912842,0.45824698,-0.48084432,-0.97893876,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0,0,0,64,0
S141,-0.33528122,-2.1680293,-1.7394843,0.14306813,0.26051706,0.9604902,-1.2291791,-0.43005592,1.7524533,-0.2183383,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0,5,4,158,0
S142,1.28238,-1.9802101,2.061178,-1.2732577,-0.5101442,-0.08121965,1.3811529,0.080810115,0.39606887,0.716243,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0,40,0,26,0
S143,-0.2070279,0.33690232,0.3187361,1.3764294,-0.21115914,-2.3904505,1.0895056,-0.78985566,-0.57826537,-0.5006379,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0,0,0,199,0
S144,-1.0535978,0.94694155,0.1795608,-0.5086825,-1.8190843,0.5919179,1.8002657,0.035350896,-2.0069692,0.9816541,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5,0,25,30,2
S145,0.90545297,-0.20867965,1.1856709,-1.2081469,0.64920944,0.58238834,-0.8614126,-0.08441356,0.9618433,0.6068845,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,8,5,0,93,0
S146,-0.96996474,-0.062486924,0.045205045,0.3435049,-3.112883,-0.19760159,1.7210907,0.24941616,0.02599316,-0.67751837,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0,0,33,96,7
S147,1.560342,0.6644733,1.8861513,1.3201667,-0.5598296,-0.82095665,-0.069082834,0.8302385,-1.2581187,-0.807043,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2,19,0,110,32
S148,0.7646098,0.76273024,-1.3172352,0.6808615,0.5606623,-0.044021294,0.052306365,0.3334822,-2.0414567,0.56185323,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,27,6,0,5,17
S149,0.76925313,0.6505268,-1.3283429,-1.8412187,-0.91985846,-0.2894234,0.4566749,-0.79742354,-0.5333003,0.8735332,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,16,4,2,148,0
S150,0.7314785,-0.39934173,0.506767,0.97983634,-1.2505485,2.322974,-0.41508374,0.03853437,-0.92613477,2.0736825,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,11,2,8,129,8
S151,0.756,2.2691357,0.399496,1.0632379,0.08205679,0.9557737,0.44966742,1.1597621,0.4930557,0.38813323,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,26,6,22,41,83
S152,0.5288491,-1.3592483,0.4252685,-0.23110612,-0.0782024,-0.04297331,-0.6155623,0.24202952,-0.087115936,-0.30546153,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,49,42,0,25,0
S153,0.13999628,-0.25013357,-2.1271458,-2.9751468,0.45308778,-1.4640512,-0.7323937,1.1630687,-0.83126366,-0.15707521,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0,2,1,169,0
S154,0.5673976,0.21011226,0.0019317642,0.28124705,-0.41999227,-1.731296,-0.88284314,0.07581621,0.36982587,0.6870998,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0,0,0,50,1
S155,0.06449601,0.14427212,0.65619373,0.72001606,-0.56751895,-0.42525303,-0.22259726,1.9213718,2.114293,-0.5179514,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,1,23,50,4
S156,-0.651136,1.1275953,-0.022460891,1.1267213,-0.9700733,-0.28149188,-0.9422968,-0.33992916,-0.23141316,0.01683947,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0,0,11,168,0
S157,-0.748374,0.9384191,0.5856128,0.5077967,-0.059732515,0.37890673,0.4761456,-0.42258614,0.9900156,0.13359335,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,9,0,40,94,5
S158,0.059074022,0.072547466,-1.3788271,-0.70762867,-1.0369306,0.27918535,-0.7067697,0.16117135,1.2848448,-0.29521617,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0,0,0,122,2
S159,1.0665686,-0.5649152,-0.17906266,0.7022235,-0.579732,-0.19493672,-0.17757218,0.2570303,1.6745257,1.5040001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2,61,0,66,0
S160,0.1993665,-1.1924313,-0.84412575,-3.123031,-1.52434,-1.0237783,-0.15543695,1.0794797,0.993984,0.07657394,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0,1,0,119,0
S161,-0.42080554,0.33497027,1.0761179,-0.36532182,-1.3474922,0.5029594,1.2944905,0.89014083,0.8344204,-0.916279,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0,0,0,184,0
S162,1.1802684,-0.09106178,-0.11645802,-0.1443317,-0.54322517,0.67889655,-1.4225485,-0.39989284,-0.40334946,-0.3476661,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20,44,0,25,5
S163,0.6830068,0.014582771,1.6267679,0.88293624,-0.49607491,0.13107733,-0.3218541,-1.7466422,-0.40141326,1.0412401,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,6,7,0,65,0
S164,-0.99404866,-0.5161499,1.5654637,-0.8950578,1.22296,-0.79098034,-2.5767298,-1.4932684,-0.68453133,0.6897566,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,3,47,0
S165,-0.47889486,0.21308395,0.37944454,0.9353038,0.23245615,-1.8603375,0.34159398,-1.0987493,-0.12581176,0.7077058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,12,107,10
S166,-1.5450065,-0.45571923,1.3870622,-0.937722,0.19627075,0.31723458,0.11341908,-2.0788586,-0.3098467,0.5862365,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0,0,0,182,0
S167,-0.19209372,0.4220158,0.58227605,1.0159601,-0.0012542895,-0.6937375,0.5979847,0.421971,-1.0676241,0.44631928,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0,0,0,88,3
S168,-0.8731512,0.38016656,1.257846,-1.3265444,-1.2776908,-0.10160174,-0.6527527,-0.7103062,-0.7724183,0.13166027,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0,0,20,90,0
S169,0.23662339,-0.31764132,-0.7059446,-0.98081785,1.3148942,1.2830943,-0.2878502,-1.6742321,-0.33191064,-0.2935243,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0,0,0,169,0
S170,0.5968793,2.2008588,0.25908214,-0.6751322,0.36453676,-0.040047165,0.9178067,-1.4667485,0.10744062,1.9359841,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,47,1,5,38,53
S171,-1.9131944,-1.9016734,0.8649504,-0.07745817,-0.20174356,-0.08463483,-0.38655624,-0.70462114,0.4772156,-1.2040824,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,2,156,23
S172,1.118719,0.24865316,0.75382787,0.20353375,0.7910622,-0.11737391,-0.48603523,-0.8810437,1.1294199,1.2339582,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,9,8,0,167,10
S173,0.28714377,-0.96461886,-0.25817832,3.1006083,-0.60681593,0.2551908,-0.050001934,0.6631597,1.122652,1.5149206,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1,80,0,115,3
S174,0.54830194,0.45065925,-0.9036005,1.8379828,-0.7603747,1.9626782,-1.3303062,-0.0062457356,0.3109565,-0.50715953,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0,2,27,98,0
S175,-0.26921767,2.4356072,-0.6061466,1.7978787,0.17803864,1.5820385,1.2871814,0.09891769,-0.7797127,-0.39447638,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,11,0,52,17,29
S176,-0.32230592,-0.28365785,1.6563239,-0.8067333,1.0499849,0.62772274,0.31320885,1.4754077,0.051361043,0.96402866,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0,0,0,183,0
S177,-0.18595438,0.7485028,0.011872571,1.9460694,-0.71640235,1.9010919,0.54690236,1.065018,1.1451102,0.7164713,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,8,134,7
S178,-1.5056411,0.041461803,0.64907694,0.86797804,-0.5790054,0.21752907,-0.29392016,1.1680858,0.6623163,1.3045628,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0,2,112,0
S179,0.7285626,-0.57632595,1.6932839,-0.36405608,0.47756788,-0.4200236,-0.4169579,1.8755774,-0.85498977,0.5356935,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,8,50,0,47,12
S180,0.5472505,-0.44646582,0.079364054,-0.44997954,1.617225,-0.7591425,1.2910105,1.1638346,0.25573668,0.77130467,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,46,4,57,0
S181,-1.0092152,0.6804491,-0.8437474,-0.6487128,2.1257112,0.15889442,-0.8595925,0.42592138,-0.95623535,0.038691796,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0,0,6,62,0
S182,-0.46368158,-0.025320355,-0.92552245,-0.11103644,-0.9122087,1.4687521,0.3864903,1.1408981,-1.2929733,-0.19935392,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0,0,0,132,0
S183,0.008453041,0.10936277,0.48894548,-0.93295145,0.37896234,0.12512708,-0.7283119,-0.9266978,-0.2244416,0.42017028,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0,2,138,2
S184,0.8006312,2.1152625,0.1993374,-0.14849842,-0.26930103,2.0001853,-0.71389306,-0.23623826,-0.1705947,0.573015,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0,18,0,63,9
S185,1.3322736,-1.2277212,0.9208806,0.27040744,0.16221404,-0.22819574,1.2058958,1.0119212,-0.35878238,0.6687324,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2,39,0,107,0
S186,-0.52922237,-1.6125358,-0.28535905,-0.473789,-1.1352804,-0.12757882,1.2490427,-2.4781165,-1.0050749,0.00096523593,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,7,2,0,103,0
S187,0.55148256,1.4842987,0.2039382,-1.1213756,0.9540014,3.0797822,-0.85437405,-0.2425628,-0.9076417,1.8726459,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,5,8,2,22,13
S188,1.8497422,-2.1440601,-0.006923347,-0.70557976,1.3280951,-0.15240782,-1.3759025,-1.2498449,0.97240216,1.2015172,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0,67,0,17,0
S189,-0.25593114,0.33971396,-1.0139067,0.013558724,-0.021560937,0.3056468,-0.5390917,0.84755695,0.39900926,-1.2763491,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0,0,2,94,3
S190,1.5040499,-0.68416417,0.75098157,1.7440163,-0.68199414,-0.6726078,-1.4932982,0.74646086,-0.22321598,-0.6933306,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0,66,0,129,0
S191,0.8374671,-2.7491972,0.6276883,-1.2096565,-1.0801187,1.2113707,-0.3656297,-0.29181007,-0.41043627,-0.66216373,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,7,37,0,52,0
S192,-0.85348415,0.8111267,-0.21717091,0.9092663,-0.9573729,-0.07381107,-0.9541498,-0.31724086,-1.0365322,0.46490395,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0,0,89,0
S193,1.1965066,-0.13961208,-1.0455229,0.959513,2.1117923,-0.46146315,0.5691379,-0.46925873,-0.58156455,-1.4905475,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1,4,0,45,1
S194,-0.8158959,0.46334812,-0.2994529,0.21364307,-0.94803315,0.41484618,0.7791418,-0.3820479,0.21124393,-1.3423053,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0,0,6,156,25
S195,1.6565137,-0.04178133,-0.14987804,-2.311857,-2.6902196,-0.07682445,0.4719322,-2.0699925,0.7482349,0.082434826,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,15,37,0,125,6
S196,-1.2555164,-0.79134583,-0.1771901,-0.37173265,0.56166464,0.042778347,-2.0387626,-1.6531006,1.3126793,0.010192235,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0,0,0,154,0
S197,1.1341819,-0.1004485,0.4244137,0.8824491,-0.55583787,0.19081242,0.39976233,-0.22645661,-0.8260096,0.4192714,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,86,80,0,17,1
S198,1.0739452,1.2375845,0.6430458,1.0374594,0.8718491,0.6861987,-0.24985208,-1.0320107,-0.1804158,-0.39994577,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,24,3,2,5,17
S199,-0.08853845,0.7640443,0.876506,1.1803397,-1.0064316,-0.94212776,0.24737802,-1.5611056,0.8491943,-2.3792536,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,55,2,8,69,23
S200,-0.011329647,0.8197488,1.1861244,-0.5487276,-1.0159009,0.20811623,-1.7929772,0.13413502,-0.08938843,1.0744574,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,30,1,24,34,25
